Wall time,Step,Value
1485536245.0557358,3139,0.96875
1485536245.347253,3140,1.0
1485536247.1632535,3146,0.96875
1485536247.4636676,3147,0.96875
1485536248.9643981,3152,0.96875
1485536250.4657996,3157,0.875
1485536251.6673033,3161,0.90625
1485536252.2681065,3163,0.9375
1485536257.0906026,3179,0.96875
1485536260.4192586,3190,1.0
1485536262.5007844,3197,0.9375
1485536262.8030357,3198,0.84375
1485536264.8900838,3205,0.9375
1485536265.7952354,3208,1.0
1485536272.9388847,3232,0.96875
1485536273.8687227,3235,0.90625
1485536275.9714172,3242,0.90625
1485536276.8605025,3245,0.90625
1485536277.1641545,3246,0.90625
1485536277.7721426,3248,1.0
1485536278.0756702,3249,0.9375
1485536284.1938143,3269,0.9375
1485536285.6781085,3274,0.96875
1485536288.4144247,3283,0.9375
1485536289.01044,3285,0.9375
1485536289.6141512,3287,0.96875
1485536295.6095362,3307,0.9375
1485536298.0316744,3315,0.875
1485536302.253751,3329,0.96875
1485536302.5482948,3330,0.96875
1485536304.0168526,3335,0.90625
1485536305.5023441,3340,0.96875
1485536307.603568,3347,1.0
1485536311.1711004,3359,0.96875
1485536316.2635639,3376,0.9375
1485536316.8645113,3378,0.96875
1485536317.458043,3380,0.96875
1485536318.329979,3383,1.0
1485536319.8394315,3388,1.0
1485536324.9107447,3405,0.9375
1485536326.4257352,3410,0.9375
1485536332.9523792,3432,0.9375
1485536333.867356,3435,1.0
1485536335.3733191,3440,0.84375
1485536337.4545066,3447,0.96875
1485536338.6487567,3451,1.0
1485536339.228346,3453,0.96875
1485536341.0413537,3459,0.9375
1485536341.3325303,3460,0.96875
1485536343.0925617,3466,0.84375
1485536345.1785777,3473,0.96875
1485536347.0480614,3479,1.0
1485536348.010611,3482,0.90625
1485536353.0895398,3499,0.96875
1485536353.7061892,3501,1.0
1485536356.7318451,3511,1.0
1485536357.6366403,3514,1.0
1485536358.223917,3516,0.875
1485536367.706081,3521,0.96875
1485536372.2146187,3537,0.96875
1485536372.822041,3539,0.96875
1485536374.63334,3545,0.96875
1485536375.831817,3549,0.96875
1485536376.4523141,3551,1.0
1485536380.653177,3565,1.0
1485536384.2273862,3577,1.0
1485536385.7310793,3582,1.0
1485536389.324834,3594,1.0
1485536391.4370515,3601,0.9375
1485536391.7322717,3602,1.0
1485536397.090111,3620,0.90625
1485536397.6857038,3622,0.90625
1485536398.2739809,3624,1.0
1485536399.171524,3627,0.96875
1485536400.051991,3630,0.9375
1485536405.1637704,3647,1.0
1485536408.47692,3658,0.9375
1485536408.7767332,3659,0.875
1485536410.5466313,3665,0.90625
1485536412.6313977,3672,0.9375
1485536419.9443974,3696,0.96875
1485536421.7568002,3702,0.9375
